,Date,Open,High,Low,Close,Adj Close,Volume,year,month,day,dayofweek_num,dayofweek_name,control_stock
102,1991-05-29,497.76000999999997,500.23999000000003,497.160004,499.049988,499.049988,147630000,1991,5,29,2,Wednesday,sellersControl
103,1991-05-30,499.299988,503.72000099999997,498.92999299999997,503.19000199999994,503.19000199999994,150610000,1991,5,30,3,Thursday,sellersControl
104,1991-05-31,504.23001100000005,506.119995,501.98001100000005,506.10998499999994,506.10998499999994,157380000,1991,5,31,4,Friday,sellersControl
105,1991-06-03,505.839996,507.459991,504.380005,507.10000599999995,507.10000599999995,142160000,1991,6,3,0,Monday,sellersControl
106,1991-06-04,505.52999900000003,507.25,504.32000700000003,507.25,507.25,157150000,1991,6,4,1,Tuesday,sellersControl
107,1991-06-05,506.82000700000003,508.040009,504.76000999999997,505.200012,505.200012,158310000,1991,6,5,2,Wednesday,buyersControl
108,1991-06-06,505.52999900000003,505.920013,502.630005,502.94000199999994,502.94000199999994,161530000,1991,6,6,3,Thursday,buyersControl
109,1991-06-07,500.579987,501.790009,496.910004,498.540009,498.540009,145820000,1991,6,7,4,Friday,buyersControl
110,1991-06-10,498.39999400000005,498.880005,495.47000099999997,495.85000599999995,495.85000599999995,113810000,1991,6,10,0,Monday,buyersControl
111,1991-06-11,497.160004,498.73001100000005,495.880005,496.619995,496.619995,140320000,1991,6,11,1,Tuesday,buyersControl
112,1991-06-12,493.630005,495.619995,489.049988,491.049988,491.049988,156910000,1991,6,12,2,Wednesday,buyersControl
113,1991-06-13,490.26998899999995,491.700012,489.910004,491.14001500000006,491.14001500000006,127700000,1991,6,13,3,Thursday,sellersControl
114,1991-06-14,493.950012,495.209991,491.98001100000005,495.07000700000003,495.07000700000003,135000000,1991,6,14,4,Friday,sellersControl
115,1991-06-17,494.76000999999997,495.98999000000003,494.17999299999997,494.32000700000003,494.32000700000003,116600000,1991,6,17,0,Monday,buyersControl
116,1991-06-18,494.200012,494.67999299999997,490.829987,491.589996,491.589996,145420000,1991,6,18,1,Tuesday,buyersControl
117,1991-06-19,487.57000700000003,490.329987,484.32000700000003,485.35998499999994,485.35998499999994,150830000,1991,6,19,2,Wednesday,buyersControl
118,1991-06-20,483.77999900000003,486.299988,482.660004,485.880005,485.880005,143920000,1991,6,20,3,Thursday,sellersControl
119,1991-06-21,487.369995,487.670013,485.30999800000006,485.82000700000003,485.82000700000003,151130000,1991,6,21,4,Friday,buyersControl
120,1991-06-24,482.790009,484.709991,475.14001500000006,475.23001100000005,475.23001100000005,124120000,1991,6,24,0,Monday,buyersControl
121,1991-06-25,477.19000199999994,478.119995,472.98001100000005,473.299988,473.299988,129030000,1991,6,25,1,Tuesday,buyersControl
122,1991-06-26,472.39999400000005,473.790009,470.920013,473.079987,473.079987,136480000,1991,6,26,2,Wednesday,sellersControl
123,1991-06-27,474.420013,476.27999900000003,473.790009,476.23999000000003,476.23999000000003,138910000,1991,6,27,3,Thursday,sellersControl
124,1991-06-28,475.75,476.42999299999997,470.97000099999997,475.920013,475.920013,160330000,1991,6,28,4,Friday,sellersControl
